Review;Rating;LikeReview
Versi sebelumnya sudah bagus, setelah diupdate malah engga bisa login. Disarankan sm cs bwt hapus cache & data sm aja, disarankan login pake perangkat lain akhirnya bisa masuk. Dicoba login kembali diperangkat awal, sampai skg tetap tidak bisa.;1;3
aplikasinya serinng gangguan 2 minggu terakhiri ini, pesan pukul 00.00 WIB langsung tanpa kursi, dan saat pengisian data penumpang dan dilanjutkan tidak bisa diminta batalkan pembelian. setelah selesai batal tetap tidak hilang dan susah pesan lagi. mohon diperbaiki sebelumnya sudah sangat baik padahal.;3;1
Awalnya saya beri bintang 5 sekarang saya turunkan, sering eror di saat pembayaran,pembayaran tiket ka lokal lebih banyak dong pemilihan pembayarannya, jangan cuma link aja,ovo dan qris. sudah dibayar tapi kode tiket belum aktif dan akhirnya gagal,uang hangus dan pembatalan menunggu sampai 2 minggu juga tidak masuk ke saldo. Ayo perbaiki sistemnya perbanyak pilihan pembayaran di tiket ka lokal. Jangan sering eror. Thnks;4;1
suara pengumuman pemberitahuan kedatangan kereta didalam stasiun kutoarjo terlalu ngbass dan hanya 1 sumber suara, sebaiknya diperbanyak speaker dipasang setiap beberapa meter, karena suara manusia bukan musik yg harus besar bassnya. Tiket Go Show berharap bisa dipesan online untuk memudahkan pelanggan memilih jadi tidak perlu tergesa-gesa ke stasiun hanya mengejar jam keberangkatan.;1;8
aplikasinya sering eror. mohon lebih ditingkatkan. gak jelas sekali. sangat merugikan. war tiket dibelain tengah malam bangun. sering ngebug ,,eh pas Sukses tuh tiket gak terbit. sekarang dibilang transaksi time out.. merugikan sekaliiii..mengecewakan.;1;0
makin buruk servernya, udah di belain begadang buat beli tiket udah lewat jam 00 malah error, ditunggu sampe jam 5 pagi masih gak bisa. sekalinya bisa sampe mau bayar barcode qrisnya gak muncul terus otomatis ke close masuk tiket saya gak ada opsi buat lanjutin pembayaran, terus gimana mau bayarnya. tolong diperbaiki servernya saya setiap minggu rutin pp luar kota naik kereta.;1;1
bagus aplikasinya, hanya saja saya ketika pemesanan tiket udah tinggal payment ke back hal utama trus di cari ke menu payment lagi kode qris gak muncul, sampai waktu payment habis, harusnya kan udah otomatis tercancel tapi nyatanya saya gak bisa pesen lagi karena notifnya gak bisa pemesanan lagi dirute yang sama;4;0
Aplikasinya sudah semakin bagus tapi sepertinya ada yg kurang pada menu batalkan pesanan pada kereta lokal, karena saya tdk bisa membatalkan pesanan kecuali manunggu 5 menit terlebih dahulu baru batal secara otomatis;5;8
Aplikasi bagus, tapi maximum booking 6x/hari sangat mengganggu. Padahal tidak booking, cuma cari-cari jadwal saja sudah terhitung booking. Akhirnya, saat mau booking beneran malah sudah melewati limit 6x/hari. Kalau cuma cari jadwal jangan dihitung dong..;4;9
asli ini versi paling buruk, sangat menggangu karena server lemot parah, sistem antre ok lah tapi kalo pada akhirnya dapat antrian ngisi malah error ga muncul semua list nya, bahkan list habis tiketnya aja ga ada, berarti memang error parah. Gilak sih ini... transisi paling jelek. udah coba sabar eh pas lihat jam literally 1 jam bolak balik aplikasi nyobain segala kemungkinan buat dapat tiketnya. aelah... wasting time bet;1;13
